"ID","PDM_Type","Cluster"
51,"Construction Manager @ Risk",2
63,"Design-Bid-Build",2
57,"Design-Bid-Build",2
67,"Design-Build",2
8,"Construction Manager @ Risk",2
45,"Construction Manager @ Risk",2
55,"Design-Build",2
40,"Construction Manager @ Risk",2
96,"Design-Build",2
86,"Progressive Design-Build",2
25,"Construction Manager @ Risk",2
69,"Design-Build",2
10,"Integrated Project Delivery (IPD)",2
24,"Integrated Project Delivery (IPD)",2
34,"Progressive Design-Build",2
4,"Construction Manager @ Risk",2
76,"Design-Build",2
13,"Integrated Project Delivery (IPD)",2
108,"Design-Bid-Build",2
71,"Design-Build",2
47,"Construction Manager @ Risk",2
54,"Construction Manager @ Risk",2
22,"Design-Bid-Build",2
2,"Progressive Design-Build",2
94,"Design-Build",2
41,"Design-Bid-Build",2
49,"Construction Manager @ Risk",2
37,"Design-Build",2
93,"Design-Bid-Build",2
11,"Integrated Project Delivery (IPD)",2
35,"Construction Manager @ Risk",2
90,"Design-Bid-Build",2
30,"Design-Build",2
39,"Construction Manager @ Risk",2
62,"Design-Build",2
103,"Design-Build",2
65,"Progressive Design-Build",2
15,"Design-Build",2
83,"Design-Build",2
84,"Design-Build",2
42,"Construction Manager @ Risk",2
100,"Progressive Design-Build",2
50,"Construction Manager @ Risk",2
81,"Design-Build",2
61,"Construction Manager @ Risk",2
16,"Integrated Project Delivery (IPD)",2
56,"Design-Build",2
101,"Design-Build",2
28,"Construction Manager @ Risk",2
97,"Design-Build",2
17,"Construction Manager @ Risk",2
52,"Integrated Project Delivery (IPD)",2
75,"Design-Bid-Build",2
78,"Design-Build",2
20,"Construction Manager @ Risk",2
44,"Construction Manager @ Risk",2
14,"Integrated Project Delivery (IPD)",2
6,"Construction Manager @ Risk",2
12,"Integrated Project Delivery (IPD)",2
19,"Integrated Project Delivery (IPD)",2
26,"Progressive Design-Build",2
91,"Design-Bid-Build",3
80,"Progressive Design-Build",3
58,"Design-Build",3
98,"Design-Bid-Build",3
64,"Design-Build",3
27,"Design-Bid-Build",3
74,"Design-Build",3
36,"Design-Bid-Build",1
105,"Design-Build",1
3,"Progressive Design-Build",1
92,"Design-Bid-Build",1
31,"Design-Build",1
85,"Design-Bid-Build",1
18,"Construction Manager @ Risk",1
53,"Design-Bid-Build",1
46,"Design-Bid-Build",1
48,"Design-Bid-Build",1
1,"Progressive Design-Build",1
60,"Design-Build",1
89,"Progressive Design-Build",1
73,"Construction Manager @ Risk",1
5,"Construction Manager @ Risk",1
7,"Design-Build",1
95,"Design-Build",1
43,"Construction Manager @ Risk",1
70,"Design-Bid-Build",1
33,"Design-Build",1
68,"Design-Bid-Build",1
79,"Design-Bid-Build",1
106,"Design-Build",1
109,"Design-Build",1
23,"Design-Build",1
66,"Design-Bid-Build",1
29,"Integrated Project Delivery (IPD)",1
38,"Design-Bid-Build",1
102,"Design-Build",1
32,"Progressive Design-Build",1
77,"Construction Manager @ Risk",1
72,"Design-Build",1
87,"Design-Build",1
99,"Design-Bid-Build",1
21,"Construction Manager @ Risk",1
9,"Construction Manager @ Risk",1
104,"Design-Bid-Build",1
82,"Design-Build",1
59,"Design-Build",1
88,"Design-Build",1
107,"Design-Build",1
