"","1","2"
"Org_Structure_Employees",-0.0967910726312853,0.12275689655363
"Org_Structure_Locations",-0.0440653688041394,0.035473626552178
"Org_Structure_Depts",-0.00967766628933578,-0.0164911750163637
"Org_Structure_Layers",-0.193593358810093,0.30567997668833
"Distribution_Centralization",0.36345246726349,-0.538863863808944
"Distribution_Formalization",0.282800955736408,-0.405798186963068
"Style_Technocracy",0.313248490623917,-0.459282393695912
"Style_Participation",0.437864134353715,-0.645823922860725
"Style_Organicity",0.385944020531165,-0.587737791751202
"Style_Coercion",-0.195898001031898,0.272285009172453
"Culture_Command",-0.0764580679108204,0.111526381392918
"Culture_Symbolic",0.411378831103231,-0.618592588394225
"Culture_Rationale",0.18973396828662,-0.287991157573291
"Culture_Generative",0.422638359309227,-0.606246106262755
"Culture_Transactive",0.422599713803891,-0.623489546373602
"Flexibility_openness",0.434263368652953,-0.64585774862638
"Flexibility_Recursiveness",0.359726200034863,-0.515189439219502
"Risk",0.305946143972458,-0.423518990063277
"Environment_Growth",0.324101769885978,-0.454483478228524
"Environment_Hostile",-0.130070653407212,0.185096776867081
"Environment_Stable",0.247917686651619,-0.357349570386561
