"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","Variable"
-0.258619029234495,0.211292337321181,-0.226619086189085,0.29979076360891,-0.0198430268216994,0.285161268822933,-0.213377815789448,0.0726517576269943,-0.258210233734678,0.265414105533744,-0.371120899243904,-0.0256164970797325,0.271082845629708,-0.296005921402913,0.03078116089095,0.400279955626255,-0.13015733627874,"Distribution_Centralization"
-0.201952418569624,0.173094460555315,-0.35376446433753,-0.251837253529874,-0.303117421928957,-0.0450741080105322,-0.5637270740021,0.193752589822678,-0.240496178507943,-0.0424348377981128,0.124505626201396,-0.0160361668029068,-0.216880902289864,0.21757403703348,-0.117200909552146,-0.294958011708067,-0.144679290060951,"Distribution_Formalization"
-0.262041512629213,0.154348431195039,-0.0905105343877146,0.315144845491188,0.0597069902403929,-0.196104687706575,0.178122028594723,-0.364124356363574,-0.170115556536609,0.361804636189406,0.58226236305177,0.154355938968203,0.102542813607946,-0.0358336916857126,-0.0890331020043047,-0.171426995183843,-0.147838077307026,"Style_Technocracy"
-0.325537588015975,-0.0423926224798615,-0.0790786926878529,0.206960898503787,0.00137588392992753,-0.0746022385002539,0.240756437957391,0.108555745191575,-0.0696519749539288,0.167100538458203,-0.396517314952053,0.0275949326028737,0.103640934353089,0.501911163546693,0.291347813466721,-0.369898858246982,0.304466861715122,"Style_Participation"
-0.311429928094499,0.117278506741731,-0.0134683648320485,-0.0290188472039474,-0.148914682436305,-0.32694764355577,0.0952686056420931,0.256859644321471,0.166957738307643,-0.0270581323931092,0.268250973545158,-0.260676080582513,-0.220699213098422,-0.00867768879643523,0.514793406223086,0.448717052378955,0.0212134671551822,"Style_Organicity"
0.0825933176401863,0.550856571706154,0.211696747320789,-0.101190307954796,-0.0287646792415612,-0.112158974695132,0.392776524824843,0.368303134788711,-0.292386307141967,0.0302523506079972,-0.0260787582058857,-0.202338204454732,0.00184198394778584,0.0511945675957018,-0.436465867080077,0.0344771803278747,0.0949291126867126,"Style_Coercion"
-0.024116902991448,0.442563470708098,0.433332006120484,-0.119466961461758,-0.217480874105569,-0.302111487649205,-0.291443457058618,-0.201355838443539,0.310269638798554,0.047895566218927,-0.190554341068344,0.310606377511061,0.302330258784299,0.020494591167777,0.105532170282227,-0.030230218884928,-0.0472354914286259,"Culture_Command"
-0.315575286917172,0.0283205562124795,0.0550810390992795,0.141861784435695,0.0598415589489496,-0.023199800682703,-0.100875384848506,-0.199166877352844,0.344775319908723,0.187048256442969,-0.203434512286968,-0.00648271602211376,-0.599417341840585,-0.0403202472456568,-0.431788151047179,0.111120568447865,0.259785697051186,"Culture_Symbolic"
-0.160261192538569,0.243950958503295,0.402083488729277,0.309660675699067,0.197448608232876,0.446042893756876,-0.219744313449162,-0.100714962126192,-0.000107652476700679,-0.336278847571197,0.181636446462091,-0.381192392339446,-0.0333007228812038,0.15606612567578,0.130853056512048,-0.160139745830609,-0.0354454973175529,"Culture_Rationale"
-0.31962797055943,-0.0227294332396872,-0.165086556556438,0.0613587534766645,-0.0331314779117589,-0.21895290539581,0.0119554247426142,0.0429745337616307,0.0588516548877236,-0.483304930030166,0.00766565000584306,-0.0705873986353562,0.268401062615166,-0.531439966511938,-0.121743952861897,-0.266992173314162,0.364160072461104,"Culture_Generative"
-0.319353329060451,-0.0971106252803482,-0.0754324633454939,0.0873353151888638,0.212219801934947,-0.0985088558566108,0.101323331667866,0.12983812083828,0.134316539039025,-0.434625660614373,-0.025799709439977,0.292369887463404,0.1567016741505,0.369440761721471,-0.30605669456916,0.27389232881594,-0.413018276698983,"Culture_Transactive"
-0.299844327160845,-0.131984835202617,0.184248629212992,-0.278399289203169,0.201690605542901,0.0429113509231275,0.114170745953887,0.254357693188036,0.2304405449282,0.293034803085933,-0.117355899406456,-0.1958339758491,0.00598682057503752,-0.288235634870312,0.0153853492793172,-0.365925079668003,-0.502610476921675,"Flexibility_openness"
-0.252748675440016,-0.0757008832721584,0.207256468990134,-0.36414906829852,0.365939297041013,0.239865944778871,-0.169249363714145,0.244833914086202,-0.121015106534409,0.166701204266664,0.278688006963751,0.372046462860904,0.116982131297224,0.0105408112688616,0.0193066789638664,0.139027090940888,0.427521615110717,"Flexibility_Recursiveness"
-0.218903816343551,0.130625251946943,-0.0275163575333185,-0.474623485257172,0.180478646073466,-0.0210601178850518,0.192735293372083,-0.555259576390495,-0.392785728918806,-0.209518594018187,-0.233036332030395,-0.0257778245879903,-0.179889826712147,-0.0418325237501507,0.17527501707346,0.0752842577745673,-0.0828790689567339,"Risk"
-0.224482747816989,-0.148684204532317,-0.0246098364230348,-0.294775832948655,-0.506147032147915,0.341024621177007,0.175124435168226,-0.227699128958255,0.213471582570394,0.0934608656690292,0.12842559391511,-0.28583090279224,0.345464800578797,0.191314858622736,-0.218076845227996,0.139494130098442,0.0976886970324184,"Environment_Growth"
0.0614846100291883,0.455280652634404,-0.377472743741333,-0.0633943109663156,-0.0268226982819643,0.443328377413558,0.297113913807139,0.0611283760217268,0.371283330895633,-0.0995184738723191,0.0638446705989982,0.347229642309365,-0.149017077819557,-0.0901368499157178,0.178413323590497,-0.135162557173118,-0.0181939177728393,"Environment_Hostile"
-0.167328437661364,-0.216451795893769,0.39733538963473,0.159699206931497,-0.530178228854661,0.179130664589809,0.179043509870163,0.116569989513224,-0.29367062275203,-0.135051462264354,-0.0120887205376802,0.391938988404071,-0.271048907967465,-0.184831815181617,0.055487377502532,-0.0468457182701075,-0.108634039347981,"Environment_Stable"
