"PC","Variance","Percentage","Cumulative"
"PC1",6.11419013562042,35.97,35.97
"PC2",1.7799310525247,10.47,46.44
"PC3",1.37168899599258,8.07,54.51
"PC4",1.07935255334592,6.35,60.86
"PC5",0.954242091600685,5.61,66.47
"PC6",0.872397442947861,5.13,71.6
"PC7",0.757159822413894,4.45,76.05
"PC8",0.666279189659502,3.92,79.97
"PC9",0.605063614451981,3.56,83.53
"PC10",0.553973051524827,3.26,86.79
"PC11",0.451993424984685,2.66,89.45
"PC12",0.426394765121912,2.51,91.96
"PC13",0.414090029809176,2.44,94.4
"PC14",0.301088310934574,1.77,96.17
"PC15",0.284633606614911,1.67,97.84
"PC16",0.206809299261091,1.22,99.06
"PC17",0.160712613191275,0.95,100.01
